"ROW_ID","OBJECT_TYPE","INTERNAL_ID","EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","EFFECTIVE_STATUS","EXTERNAL_CODE","EXTERNAL_NAME","SF_FIELD1","SF_FIELD2","SF_FIELD3","SF_FIELD4","SF_FIELD5","SF_FIELD6","SF_FIELD7","SF_FIELD8","SF_FIELD9","SF_FIELD10","SF_FIELD11","SF_FIELD12","SF_FIELD13","SF_FIELD14","SF_FIELD15","CUSTOM_FIELD1","CUSTOM_FIELD2","CREATED_DATE","LAST_MODIFIED_DATE","PARENT_ROW_ID","RECORD_STATUS","OBJECT_TYPE_ID"
"680074","BusinessKeyField","35000012","19000101","99991231","A","bankCountry",,,,,,,,,,,,,,,,,,,"20160905","20161205","680007","N","66"
"2561001","BusinessKeyField","129501001","19000101","99991231","A","bankCountry.code",,,,,,,,,,,,,,,,,,,"20161205","20161205","680007","N","66"
"26292","BusinessKeyField","1006249","19000101","99991231","A","code",,,,,,,,,,,,,,,,,,,"20160721","20160721","26245","N","66"
"24339","BusinessKeyField","1004293","19000101","99991231","A","country",,,,,,,,,,,,,,,,,,,"20160721","20160721","24288","N","66"
"24401","BusinessKeyField","1004347","19000101","99991231","A","country",,,,,,,,,,,,,,,,,,,"20160721","20160905","24341","N","66"
"24573","BusinessKeyField","1004527","19000101","99991231","A","country",,,,,,,,,,,,,,,,,,,"20160721","20160721","24522","N","66"
"2610304","BusinessKeyField","130000239","19000101","99991231","A","offcycle",,,,,,,,,,,,,,,,,,,"20161205","20161205","2610236","N","66"
"2610302","BusinessKeyField","130000237","19000101","99991231","A","payPeriodBeginDate",,,,,,,,,,,,,,,,,,,"20161205","20161205","2610236","N","66"
"2610303","BusinessKeyField","130000238","19000101","99991231","A","payPeriodEndDate",,,,,,,,,,,,,,,,,,,"20161205","20161205","2610236","N","66"
"24340","BusinessKeyField","1004294","19000101","99991231","A","payScaleArea",,,,,,,,,,,,,,,,,,,"20160721","20160721","24288","N","66"
"24402","BusinessKeyField","1004348","19000101","99991231","A","payScaleArea",,,,,,,,,,,,,,,,,,,"20160721","20160905","24341","N","66"
"24404","BusinessKeyField","1004350","19000101","99991231","A","payScaleGroup",,,,,,,,,,,,,,,,,,,"20160721","20160905","24341","N","66"
"24403","BusinessKeyField","1004349","19000101","99991231","A","payScaleType",,,,,,,,,,,,,,,,,,,"20160721","20160905","24341","N","66"
"24574","BusinessKeyField","1004528","19000101","99991231","A","payScaleType",,,,,,,,,,,,,,,,,,,"20160721","20160721","24522","N","66"
"680075","BusinessKeyField","35000013","19000101","99991231","A","routingNumber",,,,,,,,,,,,,,,,,,,"20160905","20161205","680007","N","66"
"90607","BusinessUnit","8501001","19000101","99991231","A","BU_0001","8501501","8501502",,,,,,,,,,,,,,,,,"20160724","20160724",,"N","118"
"90610","BusinessUnit","8501002","19000101","99991231","A","BU_0002","8501503","8501504",,,,,,,,,,,,,,,,,"20160724","20160724",,"N","118"
