"OPTIONID","LABEL","LOCALE"
"1","Business","en_US"
"2","Home","en_US"
"3","Balance","en_US"
"4","Flat Amount","en_US"
"5","Percentage Amount","en_US"
"290","Afghanistan","en_US"
"290","Afghanistan","en_GB"
"291","Albania","en_US"
"291","Albania","en_GB"
"292","Algeria","en_US"
"292","Algeria","en_GB"
"293","American Samoa","en_US"
"293","American Samoa","en_GB"
"294","Andorra","en_US"
"294","Andorra","en_GB"
"295","Angola","en_US"
"295","Angola","en_GB"
"296","Anguilla","en_US"
"296","Anguilla","en_GB"
"297","Antarctica","en_US"
"297","Antarctica","en_GB"
"298","Antigua and Barbuda","en_US"
"298","Antigua and Barbuda","en_GB"
"299","Argentina","en_US"
"299","Argentina","en_GB"
"300","Armenia","en_US"
"300","Armenia","en_GB"
"301","Aruba","en_US"
"301","Aruba","en_GB"
"302","Australia","en_US"
"302","Australia","en_GB"
"303","Austria","en_US"
"303","Austria","en_GB"
"304","Azerbaijan","en_US"
"304","Azerbaijan","en_GB"
"305","Bahamas","en_US"
"305","Bahamas","en_GB"
"306","Bahrain","en_US"
"306","Bahrain","en_GB"
"307","Bangladesh","en_US"
"307","Bangladesh","en_GB"
"308","Barbados","en_US"
"308","Barbados","en_GB"
"309","Belarus","en_US"
"309","Belarus","en_GB"
"310","Belgium","en_US"
"310","Belgium","en_GB"
"311","Belize","en_US"
"311","Belize","en_GB"
"312","Benin","en_US"
"312","Benin","en_GB"
"313","Bermuda","en_US"
"313","Bermuda","en_GB"
"314","Bhutan","en_US"
"314","Bhutan","en_GB"
"Plurinational State of""","""Bolivia","315"
"Plurinational State of""","""Bolivia","315"
"316","Bosnia and Herzegovina","en_US"
"316","Bosnia and Herzegovina","en_GB"
"317","Botswana","en_US"
"317","Botswana","en_GB"
"318","Bouvet Island","en_US"
"318","Bouvet Island","en_GB"
"319","Brazil","en_US"
"319","Brazil","en_GB"
"320","British Indian Ocean Territory","en_US"
"320","British Indian Ocean Territory","en_GB"
"321","Brunei Darussalam","en_US"
"321","Brunei Darussalam","en_GB"
"322","Bulgaria","en_US"
"322","Bulgaria","en_GB"
"323","Burkina Faso","en_US"
"323","Burkina Faso","en_GB"
"324","Burundi","en_US"
"324","Burundi","en_GB"
"325","Cambodia","en_US"
"325","Cambodia","en_GB"
"326","Cameroon","en_US"
"326","Cameroon","en_GB"
"327","Canada","en_US"
"327","Canada","en_GB"
"328","Cape Verde","en_US"
"328","Cape Verde","en_GB"
"329","Cayman Islands","en_US"
"329","Cayman Islands","en_GB"
"330","Central African Republic","en_US"
"330","Central African Republic","en_GB"
"331","Chad","en_US"
"331","Chad","en_GB"
"332","Chile","en_US"
"332","Chile","en_GB"
"333","China","en_US"
"333","China","en_GB"
"334","Christmas Island","en_US"
"334","Christmas Island","en_GB"
"335","Cocos (Keeling) Islands","en_US"
"335","Cocos (Keeling) Islands","en_GB"
