"Id","TableEnumOrId","FieldEnumOrId","CreatedById","CreatedDate"
"0G124000000E9AHCA0","Account","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AICA0","Account","Owner","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AJCA0","Account","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AKCA0","Contact","Account","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9ALCA0","Contact","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AMCA0","Contact","Owner","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9ANCA0","Contact","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AOCA0","Lead","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9APCA0","Lead","Status","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AQCA0","Lead","Owner","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9ARCA0","Lead","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9ASCA0","Opportunity","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9ATCA0","Opportunity","StageName","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AUCA0","Opportunity","Amount","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AVCA0","Opportunity","CloseDate","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AWCA0","Opportunity","Owner","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AXCA0","Opportunity","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AZCA0","Case","Priority","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AaCAK","Case","Owner","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AbCAK","Case","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AcCAK","ContentDocument","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AdCAK","CollaborationGroup","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AeCAK","CollaborationGroup","Owner","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AfCAK","CollaborationGroup","CollaborationType","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AgCAK","CollaborationGroup","Description","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AhCAK","CollaborationGroup","InformationTitle","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AiCAK","CollaborationGroup","InformationBody","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AjCAK","CollaborationGroup","CanHaveGuests","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AkCAK","CollaborationGroup","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AlCAK","Site","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AmCAK","Topic","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AnCAK","User","Title","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AoCAK","User","Address","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9ApCAK","User","Email","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AqCAK","User","Phone","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9ArCAK","User","Manager","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AsCAK","User","AboutMe","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AtCAK","User","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AuCAK","SOSSession","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AvCAK","ProfileSkill","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AwCAK","ProfileSkill","Description","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AxCAK","ProfileSkill","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AyCAK","ProfileSkillUser","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9AzCAK","ProfileSkillUser","ProfileSkill","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B0CAK","ProfileSkillUser","User","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B1CAK","ProfileSkillUser","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B2CAK","ProfileSkillEndorsement","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B3CAK","ProfileSkillEndorsement","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B4CAK","WorkBadgeDefinition","Name","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B5CAK","WorkBadgeDefinition","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B6CAK","WorkRewardFund","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B7CAK","WorkCoaching","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B8CAK","WorkGoal","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
"0G124000000E9B9CAK","WorkRewardFundType","000000000000000","00524000000utcoAAA","2015-06-15 09:09:42"
