StockEndDate,assignmentClass,benefitsEligibilityStartDate,benefitsEndDate,bonusPayExpirationDate,createdBy,createdDateTime,createdOn,eligibleForSalContinuation,eligibleForStock,employeeFirstEmployment,endDate,firstDateWorked,includeAllRecords,initialOptionGrant,initialStockGrant,isContingentWorker,isECRecord,jobNumber,lastDateWorked,lastModifiedBy,ElastModifiedDateTime,lastModifiedOn,okToRehire,originalStartDate,payrollEndDate,personIdExternal,prevEmployeeId,professionalServiceDate,regretTermination,salaryEndDate,seniorityDate,serviceDate,startDate,userID
,ST,,,,,,,,,,,,,,,,,,,,,,,20080808,,P00207,,,,,,,20080808,E100255
,ST,,,,,,,,,,,,,,,,,,,,,,,20141118,,P00940,,,,,,,20141118,E101416
,ST,,,,,,,,,,,,,,,,,,,,,,,20070502,,P00129,,,,,,,20070502,E100154
,ST,,,,,,,,,,,,,,,,,,,,,,,20081112,,P00227,,,,,,,20081112,E100283
,ST,,,,,,,,,,,,,,,,,,,,,,,20051029,,P00075,,,,,,,20051029,E100088
,ST,,,,,,,,,,,,,,,,,,,,,,,20091001,,P00292,,,,,,,20091001,E100374
,ST,,,,,,,,,,20141109,,,,,,,,,,,,,20040805,,P00092,,,,,,,20040805,E100107
,ST,,,,,,,,,,,,,,,,,,,,,,,20140902,,P00822,,,,,,,20140902,E101194
,ST,,,,,,,,,,,,,,,,,,,,,,,20070918,,P00151,,,,,,,20070918,E100184
,ST,,,,,,,,,,,,,,,,,,,,,,,20080828,,P00214,,,,,,,20080828,E100265
,ST,,,,,,,,,,,,,,,,,,,,,,,20141021,,P00901,,,,,,,20140722,E101349
,ST,,,,,,,,,,,,,,,,,,,,,,,20120801,,P00603,,,,,,,20120801,E100827
,ST,,,,,,,,,,,,,,,,,,,,,,,20100101,,P00308,,,,,,,20100101,E100395
,ST,,,,,,,,,,,,,,,,,,,,,,,20140516,,P00860,,,,,,,20140516,E101277
,ST,,,,,,,,,,,,,,,,,,,,,,,20140128,,P00796,,,,,,,20140128,E101157
,ST,,,,,,,,,,20150430,,,,,,,,,,,,,20130625,,P00703,,,,,,,20130625,E101008
,ST,,,,,,,,,,,,,,,,,,,,,,,20161019,,P02048,,,,,,,20161019,E102046
,ST,,,,,,,,,,,,,,,,,,,,,,,20161026,,P02049,,,,,,,20161026,E102050
,ST,,,,,,,,,,,,,,,,,,,,,,,20160629,,P02050,,,,,,,20160629,E101940
,ST,,,,,,,,,,,,,,,,,,,,,,,20160713,,P02051,,,,,,,20160713,E101947
,ST,,,,,,,,,,,,,,,,,,,,,,,20160817,,P02052,,,,,,,20160817,E102000
,ST,,,,,,,,,,,,,,,,,,,,,,,20160803,,P02053,,,,,,,20160803,E101987
,ST,,,,,,,,,,,,,,,,,,,,,,,20160921,,P02054,,,,,,,20160921,E102021
,ST,,,,,,,,,,,,,,,,,,,,,,,20161109,,P02055,,,,,,,20161109,E102063
,ST,,,,,,,,,,,,,,,,,,,,,,,20161116,,P02056,,,,,,,20161116,E102061
,ST,,,,,,,,,,,,,,,,,,,,,,,20161109,,P02057,,,,,,,20161109,E102062
,ST,,,,,,,,,,,,,,,,,,,,,,,20110628,,P00325,,,,,,,20110504,E100418
,ST,,,,,,,,,,,,,,,,,,,,,,,20130305,,P00651,,,,,,,20130305,E100911
,ST,,,,,,,,,,,,,,,,,,,,,,,20080910,,P00215,,,,,,,20080910,E100266
,ST,,,,,,,,,,,,,,,,,,,,,,,20121026,,P00631,,,,,,,20121026,E100871
,ST,,,,,,,,,,20141109,,,,,,,,,,,,,20040101,,P00017,,,,,,,20040101,E100020
,ST,,,,,,,,,,,,,,,,,,,,,,,20130903,,P00667,,,,,,,20130903,E100935
,ST,,,,,,,,,,,,,,,,,,,,,,,20040811,,P00083,,,,,,,20040811,E100097
,ST,,,,,,,,,,,,,,,,,,,,,,,20141014,,P00916,,,,,,,20141014,E101383
,ST,,,,,,,,,,20150630,,,,,,,,,,,,,20090505,,P00243,,,,,,,20090505,E100303
,ST,,,,,,,,,,,,,,,,,,,,,,,20121010,,P00622,,,,,,,20121010,E100854
,ST,,,,,,,,,,,,,,,,,,,,,,,20040506,,P00020,,,,,,,20040506,E100023
,ST,,,,,,,,,,,,,,,,,,,,,,,20131112,,P00723,,,,,,,20131112,E101043
,ST,,,,,,,,,,20170201,,,,,,,,,,,,,20130822,,P00735,,,,,,,20130822,E101065
,ST,,,,,,,,,,20150108,,,,,,,,,,,,,20120115,,P00517,,,,,,,20120115,E100686
,ST,,,,,,,,,,,,,,,,,,,,,,,20051004,,P00097,,,,,,,20051004,E100112
,ST,,,,,,,,,,,,,,,,,,,,,,,20140930,,P00923,,,,,,,20140930,E101394
,ST,,,,,,,,,,,,,,,,,,,,,,,20120501,,P00369,,,,,,,20120501,E100476
,ST,,,,,,,,,,,,,,,,,,,,,,,20110106,,P00396,,,,,,,20110106,E100506
,ST,,,,,,,,,,,,,,,,,,,,,,,20101105,,P00373,,,,,,,20101105,E100480
,ST,,,,,,,,,,,,,,,,,,,,,,,20060630,,P00107,,,,,,,20060630,E100124
,ST,,,,,,,,,,,,,,,,,,,,,,,20140318,,P00818,,,,,,,20140318,E101190
,ST,,,,,,,,,,,,,,,,,,,,,,,20091013,,P00293,,,,,,,20091013,E100375
,ST,,,,,,,,,,20161009,,,,,,,,,,,,,20050816,,P00089,,,,,,,20050816,E100103
,ST,,,,,,,,,,,,,,,,,,,,,,,20130116,,P00656,,,,,,,20130116,E100921
,ST,,,,,,,,,,,,,,,,,,,,,,,20130904,,P00692,,,,,,,20130904,E100983
,ST,,,,,,,,,,20170212,,,,,,,,,,,,,20081210,,P00237,,,,,,,20081210,E100296
,ST,,,,,,,,,,,,,,,,,,,,,,,20100705,,P00350,,,,,,,20100705,E100452
,ST,,,,,,,,,,,,,,,,,,,,,,,20141014,,P00930,,,,,,,20141014,E101404
,ST,,,,,,,,,,,,,,,,,,,,,,,20101021,,P00361,,,,,,,20101021,E100467
,ST,,,,,,,,,,,,,,,,,,,,,,,20141001,,P00881,,,,,,,20141001,E101317
,ST,,,,,,,,,,20140621,,,,,,,,,,,,,20110416,,P00421,,,,,,,20110416,E100545
,ST,,,,,,,,,,,,,,,,,,,,,,,20080806,,P00203,,,,,,,20080806,E100251
,ST,,,,,,,,,,,,,,,,,,,,,,,20090728,,P00268,,,,,,,20090728,E100338
,ST,,,,,,,,,,,,,,,,,,,,,,,20040826,,P00023,,,,,,,20040826,E100028
,ST,,,,,,,,,,,,,,,,,,,,,,,20140603,,P00880,,,,,,,20140603,E101316
,ST,,,,,,,,,,,,,,,,,,,,,,,20110707,,P00440,,,,,,,20110707,E100571
,ST,,,,,,,,,,,,,,,,,,,,,,,20130507,,P00689,,,,,,,20130507,E100977
,ST,,,,,,,,,,,,,,,,,,,,,,,20140325,,P00811,,,,,,,20140325,E101180
,ST,,,,,,,,,,,,,,,,,,,,,,,20120808,,P00602,,,,,,,20120808,E100826
,ST,,,,,,,,,,,,,,,,,,,,,,,20120808,,P00626,,,,,,,20120808,E100862
,ST,,,,,,,,,,,,,,,,,,,,,,,20140122,,P00756,,,,,,,20140122,E101101
,ST,,,,,,,,,,,,,,,,,,,,,,,20060330,,P00033,,,,,,,20060330,E100039
,ST,,,,,,,,,,,,,,,,,,,,,,,20110920,,P00484,,,,,,,20110920,E100629
,ST,,,,,,,,,,,,,,,,,,,,,,,20090505,,P00270,,,,,,,20090505,E100340
,ST,,,,,,,,,,,,,,,,,,,,,,,20060415,,P00006,,,,,,,20060415,E100008
,ST,,,,,,,,,,,,,,,,,,,,,,,20161001,,P00697,,,,,,,20161001,E100997
,ST,,,,,,,,,,20150115,,,,,,,,,,,,,20140916,,P00915,,,,,,,20140916,E101382
,ST,,,,,,,,,,20150430,,,,,,,,,,,,,20050712,,P00080,,,,,,,20050712,E100094
,ST,,,,,,,,,,,,,,,,,,,,,,,20090724,,P00288,,,,,,,20090724,E100367
,ST,,,,,,,,,,20160908,,,,,,,,,,,,,20050205,,P00085,,,,,,,20050205,E100099
,ST,,,,,,,,,,20160915,,,,,,,,,,,,,20060104,,P00073,,,,,,,20060104,E100086
,ST,,,,,,,,,,20160218,,,,,,,,,,,,,20140701,,P00867,,,,,,,20140514,E101286
,ST,,,,,,,,,,,,,,,,,,,,,,,20111007,,P00445,,,,,,,20111007,E100577
,ST,,,,,,,,,,,,,,,,,,,,,,,20141007,,P00887,,,,,,,20141007,E101324
,ST,,,,,,,,,,,,,,,,,,,,,,,20131022,,P00713,,,,,,,20131022,E101029
,ST,,,,,,,,,,,,,,,,,,,,,,,20121031,,P00590,,,,,,,20121031,E100799
,ST,,,,,,,,,,,,,,,,,,,,,,,20131029,,P00767,,,,,,,20131029,E101113
,ST,,,,,,,,,,,,,,,,,,,,,,,20060316,,P00093,,,,,,,20060316,E100108
,ST,,,,,,,,,,,,,,,,,,,,,,,20100504,,P00340,,,,,,,20100504,E100437
,ST,,,,,,,,,,20141129,,,,,,,,,,,,,20050927,,P00046,,,,,,,20050927,E100057
,ST,,,,,,,,,,,,,,,,,,,,,,,20140722,,P00842,,,,,,,20140722,E101235
