"JOB_INFO_ID","EMPLOYEE_ID","JOB_TITLE","JOB_CODE","EMPLOYEE_TYPE","DEPARTMENT","DIVISION","JOB_LOCATION","EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","CUSTOM_VCHAR1","CUSTOM_VCHAR2","CUSTOM_VCHAR3","CUSTOM_VCHAR4","CUSTOM_VCHAR5","CUSTOM_VCHAR6","CUSTOM_VCHAR7","CUSTOM_VCHAR8","CUSTOM_VCHAR9","CUSTOM_VCHAR10","CUSTOM_VCHAR11","CUSTOM_VCHAR12","CUSTOM_VCHAR13","CUSTOM_VCHAR14","CUSTOM_VCHAR15","CUSTOM_VCHAR16","CUSTOM_VCHAR17","CUSTOM_VCHAR18","CUSTOM_VCHAR19","CUSTOM_VCHAR20","COMPANY","BUSINESS_UNIT","COST_CENTER","EMPLOYEE_CLASS","EMPLOYMENT_TYPE","FTE","REGULAR_TEMP","STANDARD_HOURS","WORK_PERIOD","FLSA_STATUS","PAY_GRADE","IS_SHIFT_EMPLOYEE","SHIFT_CODE","MANAGER_CATEGORY","SUPERVISOR_LEVEL","TRANSACTION_SEQUENCE_NUMBER","EVENT","EVENT_REASON_ICODE","EMPLOYMENT_STATUS","EEO1_JOB_CATEGORY_USA","MANAGER_ID","POSITION_ID"
"26179","E100651","Solutions Architect","21",,"8005068","8003002","39","20160511","20161213",,"8007005","1838",,,"1961","1840","1464",,"1973","1973",,"995","9002783",,,,,,,"8001009","8501013","9001092","2041",,"1","867","37.5",,"571",,,,,,"1","970","42","2003",,"E100614",
"34222","E100651","Solutions Architect","21",,"8005068","8003002","39","20161214","20161214",,"8007005","1838",,,"1961","1840","1464",,"1973","1973",,"995","9002783",,,,,,,"8001009","8501013","9001092","2041",,"1","867","37.5",,"571",,"f",,,,"1","972","23","2003",,"E100819",
"33385","E100651","Solutions Architect","21",,"8005068","8003002","39","20161214","99991231",,"8007005","1838",,,"1961","1840","1464",,"1973","1973",,"995","9002783",,,,,,,"8001009","8501013","9001092","2041",,"1","867","37.5",,"571",,"f",,,,"2","972","23","2003",,"E100819",
"30981","E102146","Intern","23",,"8005002","8003002",,"20161123","20161123",,"8007011",,,,,,,,"1974","1973",,,"9002806","1973",,,,,,"8001009","8501004","9001101",,,"1",,"37.5",,,,"f",,,,"1","975","62","2003",,"E101366",
"31001","E102147","Intern","23",,"8005002","8003002",,"20161123","20161123",,"8007011",,,,,,,,"1974","1973",,,"9002806","1973",,,,,,"8001008","8501004","9001101",,,"1",,"35",,,,"f",,,,"1","975","62","2003",,"E101366",
"31002","E102145","Intern","23",,,"8003002","35","20161123","20161123",,,,,,,,,,"1973","1973",,,"9002806","1973","A",,,,,"8001009","8501013","9001101",,,"1",,"37.5",,,,"f",,,,"1","975","62","2003",,"E101366",
"31021","E102144","Intern","23",,"8005030","8003002","39","20161123","20161123",,"8007008",,,,,,,,"1973","1973",,,"9002806","1973","A",,,,,"8001009","8501003","9001101",,,"1",,"37.5",,,,"f",,,,"1","975","62","2003",,"E101366",
"31022","E102146","Intern","23",,"8005002","8003002",,"20161124","99991231",,"8007011",,,,,,,,"1974","1973",,,"9002806","1973",,,,,,"8001009","8501004","9001101",,,"1",,"37.5",,,,"f",,,,"1","986","96","2008",,"E101366",
"31023","E102147","Intern","23",,"8005002","8003002",,"20161123","99991231",,"8007011",,,,,,,,"1974","1973",,,"9002806","1973",,,,,,"8001008","8501004","9001101",,,"1",,"35",,,,"f",,,,"2","986","95","2008",,"E101366",
"31024","E102145","Intern","23",,,"8003002","35","20161124","99991231",,,,,,,,,,"1973","1973",,,"9002806","1973",,,,,,"8001009","8501013","9001101",,,"1",,"37.5",,,,"f",,,,"1","986","101","2008",,"E101366",
"31026","E102144","Intern","23",,"8005030","8003002","39","20161124","99991231",,"8007008",,,,,,,,"1973","1973",,,"9002806","1973",,,,,,"8001009","8501003","9001101",,,"1",,"37.5",,,,"f",,,,"1","986","97","2008",,"E101366",
"26687","E100762","Intern","23",,"8005079","8003001","42","20121003","20140726",,"8007015","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501007","9001002","2038",,"1","868","35",,,,,,,,"1","975","62","2003",,"E100383",
"30777","E100762","Intern","23",,"8005079","8003001","42","20140727","99991231",,"8007015","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501007","9001002","2038",,"1","868","35",,,,"f",,,,"1","986","100","2008",,"E100383",
"30779","E100769","Intern","23",,"8005079","8003001","42","20130901","99991231",,"8007015","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501007","9001082","2038",,"1","868","35",,,,"f",,,,"1","986","100","2008",,"E100383",
"26339","E100769","Intern","23",,"8005079","8003001","42","20120704","20130831",,"8007015","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501007","9001082","2038",,"1","868","35",,,,,,,,"1","975","62","2003",,"E100383",
"30857","E100913","Interim Portfolio Manager","24",,"8005076","8003001","42","20131018","99991231",,"8007015","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501007","9001082","2040",,"1","868","35",,,,"f",,,,"1","986","100","2008",,"E100581",
"26823","E100913","Interim Portfolio Manager","24",,"8005076","8003001","42","20130116","20131017",,"8007015","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501007","9001082","2040",,"1","868","35",,,,,,,,"1","975","62","2003",,"E100581",
"30756","E100719","Accounting Assistant","25",,"8005126","8003001","42","20130321","99991231",,"8007010","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501008","9001072","2037",,"1","868","35",,,,"f",,,,"1","986","100","2008",,,
"26509","E100719","Accounting Assistant","25",,"8005126","8003001","42","20120321","20130320",,"8007010","1838",,,"1964","1840",,,"1973","1973",,"994","9002859",,,,,,,"8001008","8501008","9001072","2037",,"1","868","35",,,,,,,,"1","975","62","2003",,"E100131",
