Key	CodeTypeId	CodeValueId	LocaleId
50001	Gender	F	
50002	Gender	M	
50003	CountryISO	AFG	
50004	CountryISO	EGY	
50005	CountryISO	ALA	
50006	CountryISO	ALB	
50007	CountryISO	DZA	
50008	CountryISO	ASM	
50009	CountryISO	AND	
50010	CountryISO	AGO	
50011	CountryISO	AIA	
50012	CountryISO	ATA	
50013	CountryISO	ATG	
50014	CountryISO	GNQ	
50015	CountryISO	ARG	
50016	CountryISO	ARM	
50017	CountryISO	ABW	
50018	CountryISO	AZE	
50019	CountryISO	ETH	
50020	CountryISO	AUS	
50021	CountryISO	BHS	
50022	CountryISO	BHR	
50023	CountryISO	BGD	
50024	CountryISO	BRB	
50025	CountryISO	BLR	
50026	CountryISO	BEL	
50027	CountryISO	BLZ	
50028	CountryISO	BEN	
50029	CountryISO	BMU	
50030	CountryISO	BTN	
50031	CountryISO	BOL	
50032	CountryISO	BIH	
50033	CountryISO	BWA	
50034	CountryISO	BVT	
50035	CountryISO	BRA	
50036	CountryISO	IOT	
50037	CountryISO	BRN	
50038	CountryISO	BGR	
50039	CountryISO	BFA	
50040	CountryISO	BDI	
50041	CountryISO	CHL	
50042	CountryISO	CHN	
50043	CountryISO	COK	
50044	CountryISO	CRI	
50045	CountryISO	CUW	
50046	CountryISO	DNK	
50047	CountryISO	COD	
50048	CountryISO	DEU	
50049	CountryISO	DMA	
50050	CountryISO	DOM	
50051	CountryISO	DJI	
50052	CountryISO	ECU	
50053	CountryISO	SLV	
50054	CountryISO	CIV	
50055	CountryISO	ERI	
50056	CountryISO	EST	
50057	CountryISO	FLK	
50058	CountryISO	FRO	
50059	CountryISO	FJI	
50060	CountryISO	FIN	
50061	CountryISO	FRA	
50062	CountryISO	GUF	
50063	CountryISO	PYF	
50064	CountryISO	ATF	
50065	CountryISO	GAB	
50066	CountryISO	GMB	
50067	CountryISO	GEO	
50068	CountryISO	GHA	
50069	CountryISO	GIB	
50070	CountryISO	GRD	
50071	CountryISO	GRC	
50072	CountryISO	GRL	
50073	CountryISO	GLP	
50074	CountryISO	GUM	
50075	CountryISO	GTM	
50076	CountryISO	GGY	
50077	CountryISO	GIN	
50078	CountryISO	GNB	
50079	CountryISO	GUY	
50080	CountryISO	HTI	
50081	CountryISO	HMD	
50082	CountryISO	HND	
50083	CountryISO	HKG	
50084	CountryISO	IND	
50085	CountryISO	IDN	
50086	CountryISO	IMN	
50087	CountryISO	IRQ	
50088	CountryISO	IRN	
50089	CountryISO	IRL	
50090	CountryISO	ISL	
50091	CountryISO	ISR	
50092	CountryISO	ITA	
50093	CountryISO	JAM	
50094	CountryISO	JPN	
50095	CountryISO	YEM	
50096	CountryISO	JEY	
50097	CountryISO	JOR	
50098	CountryISO	VGB	
50099	CountryISO	VIR	
50100	CountryISO	CYM	
50101	CountryISO	KHM	
50102	CountryISO	CMR	
50103	CountryISO	CAN	
50104	CountryISO	CPV	
50105	CountryISO	KAZ	
50106	CountryISO	QAT	
50107	CountryISO	KEN	
50108	CountryISO	KGZ	
50109	CountryISO	KIR	
50110	CountryISO	CCK	
50111	CountryISO	COL	
50112	CountryISO	COM	
50113	CountryISO	COG	
50114	CountryISO	KOS	
50115	CountryISO	HRV	
50116	CountryISO	CUB	
50117	CountryISO	KWT	
50118	CountryISO	LAO	
50119	CountryISO	LSO	
50120	CountryISO	LVA	
50121	CountryISO	LBN	
50122	CountryISO	LBR	
50123	CountryISO	LBY	
50124	CountryISO	LIE	
50125	CountryISO	LTU	
50126	CountryISO	LUX	
50127	CountryISO	MAC	
50128	CountryISO	MDG	
50129	CountryISO	MWI	
50130	CountryISO	MYS	
50131	CountryISO	MDV	
50132	CountryISO	MLI	
50133	CountryISO	MLT	
50134	CountryISO	MAR	
50135	CountryISO	MHL	
50136	CountryISO	MTQ	
50137	CountryISO	MRT	
50138	CountryISO	MUS	
50139	CountryISO	MYT	
50140	CountryISO	MKD	
50141	CountryISO	MEX	
50142	CountryISO	FSM	
50143	CountryISO	MDA	
50144	CountryISO	MCO	
50145	CountryISO	MNG	
50146	CountryISO	MNE	
50147	CountryISO	MSR	
50148	CountryISO	MOZ	
50149	CountryISO	MMR	
50150	CountryISO	NAM	
50151	CountryISO	NRU	
50152	CountryISO	NPL	
50153	CountryISO	NCL	
50154	CountryISO	NZL	
50155	CountryISO	NIC	
50156	CountryISO	NLD	
50157	CountryISO	ANT	
50158	CountryISO	NER	
50159	CountryISO	NGA	
50160	CountryISO	NIU	
50161	CountryISO	PRK	
50162	CountryISO	MNP	
50163	CountryISO	NFK	
50164	CountryISO	NOR	
50165	CountryISO	OMN	
50166	CountryISO	AUT	
50167	CountryISO	TLS	
50168	CountryISO	PAK	
50169	CountryISO	PSE	
50170	CountryISO	PLW	
50171	CountryISO	PAN	
50172	CountryISO	PNG	
50173	CountryISO	PRY	
50174	CountryISO	PER	
50175	CountryISO	PHL	
50176	CountryISO	PCN	
50177	CountryISO	POL	
50178	CountryISO	PRT	
50179	CountryISO	PRI	
50180	CountryISO	REU	
50181	CountryISO	RWA	
50182	CountryISO	ROU	
50183	CountryISO	RUS	
50184	CountryISO	SLB	
50185	CountryISO	ZMB	
50186	CountryISO	WSM	
50187	CountryISO	SMR	
50188	CountryISO	BLM	
50189	CountryISO	STP	
50190	CountryISO	SAU	
50191	CountryISO	SWE	
50192	CountryISO	CHE	
50193	CountryISO	SEN	
50194	CountryISO	SRB	
50195	CountryISO	SYC	
50196	CountryISO	SLE	
50197	CountryISO	ZWE	
50198	CountryISO	SGP	
50199	CountryISO	SXM	
50200	CountryISO	SVK	
50201	CountryISO	SVN	
50202	CountryISO	SOM	
50203	CountryISO	ESP	
50204	CountryISO	LKA	
50205	CountryISO	SHN	
50206	CountryISO	KNA	
50207	CountryISO	LCA	
50208	CountryISO	SPM	
50209	CountryISO	VCT	
50210	CountryISO	ZAF	
50211	CountryISO	SDN	
50212	CountryISO	SGS	
50213	CountryISO	KOR	
50214	CountryISO	SSD	
50215	CountryISO	SUR	
50216	CountryISO	SJM	
50217	CountryISO	SWZ	
50218	CountryISO	SYR	
50219	CountryISO	TJK	
50220	CountryISO	TWN	
50221	CountryISO	TZA	
50222	CountryISO	THA	
50223	CountryISO	TGO	
50224	CountryISO	TKL	
50225	CountryISO	TON	
50226	CountryISO	TTO	
50227	CountryISO	TCD	
50228	CountryISO	CZE	
50229	CountryISO	TUN	
50230	CountryISO	TUR	
50231	CountryISO	TKM	
50232	CountryISO	TCA	
50233	CountryISO	TUV	
50234	CountryISO	UGA	
50235	CountryISO	UKR	
50236	CountryISO	HUN	
50237	CountryISO	URY	
50238	CountryISO	UZB	
50239	CountryISO	VUT	
50240	CountryISO	VAT	
50241	CountryISO	VEN	
50242	CountryISO	ARE	
50243	CountryISO	USA	
50244	CountryISO	GBR	
50245	CountryISO	VNM	
50246	CountryISO	WLF	
50247	CountryISO	CXR	
50248	CountryISO	ESH	
50249	CountryISO	CAF	
50250	CountryISO	CYP	
