"EMPLOYMENT_ID","PERSON_ID","EMPLOYEE_ID","START_DATE","END_DATE","ORIGINAL_START_DATE","SENIORITY_DATE","ASSIGNMENT_TYPE"
"141","P00207","E100255","20080808",,"20080808",,"ST"
"142","P00940","E101416","20141118",,"20141118",,"ST"
"143","P00129","E100154","20070502",,"20070502",,"ST"
"144","P00227","E100283","20081112",,"20081112",,"ST"
"145","P00075","E100088","20051029",,"20051029",,"ST"
"146","P00292","E100374","20091001",,"20091001",,"ST"
"147","P00092","E100107","20040805","20141109","20040805",,"ST"
"148","P00822","E101194","20140902",,"20140902",,"ST"
"149","P00151","E100184","20070918",,"20070918",,"ST"
"150","P00214","E100265","20080828",,"20080828",,"ST"
"151","P00901","E101349","20140722",,"20141021",,"ST"
"152","P00603","E100827","20120801",,"20120801",,"ST"
"153","P00308","E100395","20100101",,"20100101",,"ST"
"154","P00860","E101277","20140516",,"20140516",,"ST"
"155","P00796","E101157","20140128",,"20140128",,"ST"
"156","P00703","E101008","20130625","20150430","20130625",,"ST"
"3092","P02048","E102046","20161019",,"20161019",,"ST"
"3093","P02049","E102050","20161026",,"20161026",,"ST"
"3094","P02050","E101940","20160629",,"20160629",,"ST"
"3095","P02051","E101947","20160713",,"20160713",,"ST"
"3096","P02052","E102000","20160817",,"20160817",,"ST"
"3097","P02053","E101987","20160803",,"20160803",,"ST"
"3098","P02054","E102021","20160921",,"20160921",,"ST"
"3101","P02055","E102063","20161109",,"20161109",,"ST"
"3121","P02056","E102061","20161116",,"20161116",,"ST"
"3122","P02057","E102062","20161109",,"20161109",,"ST"
"158","P00325","E100418","20110504",,"20110628",,"ST"
"159","P00651","E100911","20130305",,"20130305",,"ST"
"160","P00215","E100266","20080910",,"20080910",,"ST"
"161","P00631","E100871","20121026",,"20121026",,"ST"
"162","P00017","E100020","20040101","20141109","20040101",,"ST"
"163","P00667","E100935","20130903",,"20130903",,"ST"
"164","P00083","E100097","20040811",,"20040811",,"ST"
"165","P00916","E101383","20141014",,"20141014",,"ST"
"166","P00243","E100303","20090505","20150630","20090505",,"ST"
"167","P00622","E100854","20121010",,"20121010",,"ST"
"168","P00020","E100023","20040506",,"20040506",,"ST"
"169","P00723","E101043","20131112",,"20131112",,"ST"
"170","P00735","E101065","20130822","20170201","20130822",,"ST"
"171","P00517","E100686","20120115","20150108","20120115",,"ST"
"172","P00097","E100112","20051004",,"20051004",,"ST"
"173","P00923","E101394","20140930",,"20140930",,"ST"
"174","P00369","E100476","20120501",,"20120501",,"ST"
"175","P00396","E100506","20110106",,"20110106",,"ST"
"176","P00373","E100480","20101105",,"20101105",,"ST"
"177","P00107","E100124","20060630",,"20060630",,"ST"
"178","P00818","E101190","20140318",,"20140318",,"ST"
"179","P00293","E100375","20091013",,"20091013",,"ST"
"180","P00089","E100103","20050816","20161009","20050816",,"ST"
"181","P00656","E100921","20130116",,"20130116",,"ST"
"182","P00692","E100983","20130904",,"20130904",,"ST"
"183","P00237","E100296","20081210","20170212","20081210",,"ST"
"184","P00350","E100452","20100705",,"20100705",,"ST"
"185","P00930","E101404","20141014",,"20141014",,"ST"
"186","P00361","E100467","20101021",,"20101021",,"ST"
"188","P00881","E101317","20141001",,"20141001",,"ST"
"189","P00421","E100545","20110416","20140621","20110416",,"ST"
"190","P00203","E100251","20080806",,"20080806",,"ST"
"191","P00268","E100338","20090728",,"20090728",,"ST"
"192","P00023","E100028","20040826",,"20040826",,"ST"
"193","P00880","E101316","20140603",,"20140603",,"ST"
"194","P00440","E100571","20110707",,"20110707",,"ST"
"195","P00689","E100977","20130507",,"20130507",,"ST"
"196","P00811","E101180","20140325",,"20140325",,"ST"
"197","P00602","E100826","20120808",,"20120808",,"ST"
"198","P00626","E100862","20120808",,"20120808",,"ST"
"199","P00756","E101101","20140122",,"20140122",,"ST"
"200","P00033","E100039","20060330",,"20060330",,"ST"
"201","P00484","E100629","20110920",,"20110920",,"ST"
"202","P00270","E100340","20090505",,"20090505",,"ST"
"203","P00006","E100008","20060415",,"20060415",,"ST"
"204","P00697","E100997","20161001",,"20161001",,"ST"
"205","P00915","E101382","20140916","20150115","20140916",,"ST"
"206","P00080","E100094","20050712","20150430","20050712",,"ST"
"207","P00288","E100367","20090724",,"20090724",,"ST"
"208","P00085","E100099","20050205","20160908","20050205",,"ST"
"209","P00073","E100086","20060104","20160915","20060104",,"ST"
"210","P00867","E101286","20140514","20160218","20140701",,"ST"
"211","P00445","E100577","20111007",,"20111007",,"ST"
"212","P00887","E101324","20141007",,"20141007",,"ST"
"213","P00713","E101029","20131022",,"20131022",,"ST"
"214","P00590","E100799","20121031",,"20121031",,"ST"
"215","P00767","E101113","20131029",,"20131029",,"ST"
"216","P00093","E100108","20060316",,"20060316",,"ST"
"217","P00340","E100437","20100504",,"20100504",,"ST"
"218","P00046","E100057","20050927","20141129","20050927",,"ST"
"219","P00842","E101235","20140722",,"20140722",,"ST"
"220","P00607","E100832","20120928",,"20120928",,"ST"
"221","P00762","E101108","20140211","20161224","20140211",,"ST"
"222","P00869","E101299","20140819",,"20140819",,"ST"
"223","P00774","E101128","20140107",,"20140107",,"ST"
"224","P00925","E101396","20141104",,"20141104",,"ST"
"225","P00327","E100421","20100506",,"20100506",,"ST"
"226","P00013","E100015","20051101",,"20051101",,"ST"
"227","P00168","E100206","20121017","20140531","20121017",,"ST"
"228","P00067","E100080","20060412",,"20060412",,"ST"
"229","P00471","E100610","20110802","20160223","20110802",,"ST"
"230","P00739","E101069","20130901","20150120","20130901",,"ST"
"231","P00198","E100245","20080719",,"20080719",,"ST"
"232","P00650","E100910","20130102",,"20130102",,"ST"
"233","P00745","E101086","20131101","20151205","20131101",,"ST"
