"EMPLOYEE_ID","EMP_PAYCOMP_RECUR_ID","COMPENSATION_ID","PAY_COMPONENT_ICODE","CURRENCY","PAYCOMPVALUE","FREQUENCY","CUSTOM_NUM10","EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","TRANSACTION_SEQUENCE_NUMBER"
"E100152","28908","11261","58","GBP","35","42",,"20070807","20080331","1"
"E100152","28910","11263","58","GBP","35","42",,"20080401","20090331","1"
"E100085","28810","11432","58","GBP","7.5","42",,"20070807","20080331","1"
"E100152","28911","11266","58","GBP","35","42",,"20090401","20100331","1"
"E100085","28811","11435","58","GBP","7.5","42",,"20080401","20081007","1"
"E100152","28912","11268","58","GBP","35","42",,"20100401","20100831","1"
"E100085","28813","11438","58","GBP","7.5","42",,"20081008","20090331","1"
"E100085","28816","11441","58","GBP","7.5","42",,"20090401","20090409","1"
"E100085","28818","11444","58","GBP","7.5","42",,"20090410","20100331","1"
"E100085","28820","11458","58","GBP","7.5","42",,"20100401","20101231","1"
"E100085","28822","11461","58","GBP","7.5","42",,"20110101","20110331","1"
"E100085","28824","11466","58","GBP","7.5","42",,"20110401","20110404","1"
"E100085","28826","11470","58","GBP","7.5","42",,"20110405","20120331","1"
"E100085","28827","11474","58","GBP","7.5","42",,"20120401","20130331","1"
"E100085","28829","11478","58","GBP","7.5","42",,"20130401","20140331","1"
"E100085","28831","11488","58","GBP","7.5","42",,"20140401","20150131","1"
"E100085","28833","11512","58","GBP","7.5","42",,"20150201","20150331","1"
"E100085","28835","11515","58","GBP","7.5","42",,"20150401","20160331","1"
"E100085","28837","11526","58","GBP","7.5","42",,"20160401","99991231","1"
"E100086","28839","11529","58","BMD","0","42",,"20060104","20070331","1"
"E100086","28841","11533","58","BMD","0","42",,"20070401","20070806","1"
"E100086","28844","11537","58","BMD","20","42",,"20070807","20080331","1"
"E100084","28799","11378","58","GBP","15","42",,"20130401","20131028","1"
"E101991","27149","18202","81","GBP","0","42",,"20160810","99991231","1"
"E101992","27151","18203","81","GBP","60000","42",,"20160901","20191231","1"
"E101993","27153","18204","81","GBP","100000","42",,"20160811","99991231","1"
