"OBJECT_ID","INTERNAL_CODE","EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","EFFECTIVE_STATUS","OBJECT_NAME","JOB_LEVEL","DESCRIPTION","JOB_FUNCTION_ICODE","JOB_FAMILY_ICODE"
"4668","3627","19000101","99991231","I","JC2695",,"JC2695",,
"4671","423","19000101","99991231","A","JC380",,,,
"4674","426","19000101","99991231","A","JC384",,,,
"4677","429","19000101","99991231","A","JC386",,,,
"4681","3642","19000101","99991231","I","JC2698",,"JC2698",,
"4685","433","19000101","99991231","A","JC390",,,,
"4688","3662","19000101","99991231","I","JC2701",,"JC2701",,
"4691","3664","19000101","99991231","I","JC2701",,"JC2701",,
"4693","437","19000101","99991231","A","JC394",,,,
"4697","3669","19000101","99991231","I","JC2707",,"JC2707",,
"4701","441","19000101","99991231","A","JC402",,,,
"4708","3678","19000101","99991231","I","JC2710",,"JC2710",,
"4710","3682","19000101","99991231","I","JC2710",,"JC2710",,
"4714","451","19000101","99991231","A","JC408",,,,
"4718","3688","19000101","99991231","I","JC2712",,"JC2712",,
"4720","455","19000101","99991231","A","JC411",,,,
"4723","460","19000101","99991231","A","JC415",,,,
"4726","3698","19000101","99991231","I","JC2714",,"JC2714",,
"4730","464","19000101","99991231","A","JC417",,,,
"4733","3704","19000101","99991231","I","JC2717",,"JC2717",,
"4735","3706","19000101","99991231","I","JC2717",,"JC2717",,
"4740","466","19000101","99991231","A","JC421",,,,
"4742","3721","19000101","99991231","I","JC2721",,"JC2721",,
"4745","3730","19000101","99991231","I","JC2721",,"JC2721",,
"7176","5395","19000101","99991231","I","JC2033",,"JC2033",,
"7177","5396","19000101","99991231","I","JC2033",,"JC2033",,
"7178","1011","19000101","99991231","I","JC2033",,"JC2033",,
"7179","5397","19000101","99991231","I","JC2033",,"JC2033",,
"7180","5398","19000101","99991231","I","JC2033",,"JC2033",,
"7181","5399","19000101","99991231","I","JC2033",,"JC2033",,
"7182","5400","19000101","99991231","I","JC2033",,"JC2033",,
"7183","5401","19000101","99991231","I","JC2033",,"JC2033",,
"7184","5402","19000101","99991231","I","JC2033",,"JC2033",,
"7185","5403","19000101","99991231","I","JC2033",,"JC2033",,
"7186","5404","19000101","99991231","I","JC2033",,"JC2033",,
"7187","5405","19000101","99991231","I","JC2033",,"JC2033",,
"7188","5406","19000101","99991231","I","JC2033",,"JC2033",,
"7189","5407","19000101","99991231","I","JC2033",,"JC2033",,
"7190","1012","19000101","99991231","A","JC903",,,,
"7191","1017","19000101","99991231","A","JC908",,,,
"7192","1021","19000101","99991231","A","JC916",,,,
"7193","5408","19000101","99991231","I","JC3369",,"JC3369",,
"7194","1029","19000101","99991231","A","JC920",,,,
"7195","1034","19000101","99991231","A","JC924",,,,
"7196","5409","19000101","99991231","I","JC3371",,"JC3371",,
"7197","5410","19000101","99991231","I","JC3371",,"JC3371",,
"7198","1037","19000101","99991231","A","JC927",,,,
"7199","5411","19000101","99991231","I","JC3372",,"JC3372",,
"7200","5412","19000101","99991231","I","JC3372",,"JC3372",,
"7201","5413","19000101","99991231","I","JC3372",,"JC3372",,
"7202","5414","19000101","99991231","I","JC3372",,"JC3372",,
"7203","1041","19000101","99991231","A","JC935",,,,
"7204","5415","19000101","99991231","I","JC3373",,"JC3373",,
"7205","1049","19000101","99991231","A","JC939",,,,
"7206","5416","19000101","99991231","I","JC3374",,"JC3374",,
"7207","5417","19000101","99991231","I","JC3374",,"JC3374",,
"7208","1053","19000101","99991231","A","JC943",,,,
"7209","1058","19000101","99991231","A","JC948",,,,
"7210","1061","19000101","99991231","A","JC956",,,,
"7211","5418","19000101","99991231","I","JC3377",,"JC3377",,
"7212","1070","19000101","99991231","A","JC960",,,,
"7213","1074","19000101","99991231","A","JC963",,,,
"7214","1081","19000101","99991231","A","JC972",,,,
"7137","5322","19000101","99991231","I","JC2033",,"JC2033",,
"6134","3634","19000101","99991231","I","JC2694",,"JC2694",,
"6139","3639","19000101","99991231","I","JC2689",,"JC2689",,
"6143","1797","19000101","99991231","A","JC1607",,,,
"6148","1801","19000101","99991231","I","JC2702",,"JC2702",,
"6154","1804","19000101","99991231","A","JC1613",,,,
"6158","3663","19000101","99991231","I","JC2704",,"JC2704",,
"6164","3668","19000101","99991231","I","JC2704",,"JC2704",,
"6168","1807","19000101","99991231","A","JC1616",,,,
"6172","3676","19000101","99991231","I","JC2709",,"JC2709",,
"6178","3680","19000101","99991231","I","JC2709",,"JC2709",,
"6181","3686","19000101","99991231","I","JC2709",,"JC2709",,
"6185","3689","19000101","99991231","I","JC2709",,"JC2709",,
"6188","3693","19000101","99991231","I","JC2709",,"JC2709",,
"6191","3697","19000101","99991231","I","JC2709",,"JC2709",,
"6195","3702","19000101","99991231","I","JC2709",,"JC2709",,
"6200","1810","19000101","99991231","A","JC1619",,,,
"6203","3709","19000101","99991231","I","JC2719",,"JC2719",,
"6206","3712","19000101","99991231","I","JC2719",,"JC2719",,
"6209","3716","19000101","99991231","I","JC2719",,"JC2719",,
"6214","1813","19000101","99991231","A","JC1622",,,,
"6218","3720","19000101","99991231","I","JC2724",,"JC2724",,
"6221","1815","19000101","99991231","A","JC1624",,,,
"6226","3726","19000101","99991231","I","JC2728",,"JC2728",,
"6229","3731","19000101","99991231","I","JC2728",,"JC2728",,
"6234","1818","19000101","99991231","A","JC1627",,,,
"6237","3737","19000101","99991231","I","JC2732",,"JC2732",,
"6243","3742","19000101","99991231","I","JC2732",,"JC2732",,
"6246","3743","19000101","99991231","I","JC2732",,"JC2732",,
"6251","3746","19000101","99991231","I","JC2732",,"JC2732",,
"6254","3749","19000101","99991231","I","JC2732",,"JC2732",,
"6258","1821","19000101","99991231","A","JC1632",,,,
"6261","1826","19000101","99991231","I","JC2746",,"JC2746",,
"6269","3770","19000101","99991231","I","JC2746",,"JC2746",,
"6273","3775","19000101","99991231","I","JC2746",,"JC2746",,
"6277","3779","19000101","99991231","I","JC2746",,"JC2746",,
"6284","3784","19000101","99991231","I","JC2746",,"JC2746",,
"6288","3788","19000101","99991231","I","JC2746",,"JC2746",,
"6292","3792","19000101","99991231","I","JC2746",,"JC2746",,
"6295","3794","19000101","99991231","I","JC2746",,"JC2746",,
"6006","3536","19000101","99991231","I","JC2650",,"JC2650",,
"6008","3540","19000101","99991231","I","JC2650",,"JC2650",,
"6010","3543","19000101","99991231","I","JC2650",,"JC2650",,
"6012","3545","19000101","99991231","I","JC2650",,"JC2650",,
"6014","3547","19000101","99991231","I","JC2650",,"JC2650",,
"6016","3550","19000101","99991231","I","JC2650",,"JC2650",,
"6018","3552","19000101","99991231","I","JC2650",,"JC2650",,
"6020","3554","19000101","99991231","I","JC2650",,"JC2650",,
"6022","3557","19000101","99991231","I","JC2650",,"JC2650",,
"6024","3559","19000101","99991231","I","JC2650",,"JC2650",,
"6026","3562","19000101","99991231","I","JC2650",,"JC2650",,
"6028","3564","19000101","99991231","I","JC2650",,"JC2650",,
"6030","3567","19000101","99991231","I","JC2650",,"JC2650",,
"6032","3570","19000101","99991231","I","JC2650",,"JC2650",,
"6036","3572","19000101","99991231","I","JC2650",,"JC2650",,
"6038","3575","19000101","99991231","I","JC2650",,"JC2650",,
"6041","3577","19000101","99991231","I","JC2650",,"JC2650",,
"6045","1774","19000101","99991231","A","JC1586",,,,
"6049","3582","19000101","99991231","I","JC2662",,"JC2662",,
"6053","3585","19000101","99991231","I","JC2662",,"JC2662",,
"6057","3588","19000101","99991231","I","JC2662",,"JC2662",,
"6061","3591","19000101","99991231","I","JC2662",,"JC2662",,
"6067","1777","19000101","99991231","A","JC1589",,,,
"6071","1780","19000101","99991231","A","JC1592",,,,
"6078","3600","19000101","99991231","I","JC2673",,"JC2673",,
"6081","3602","19000101","99991231","I","JC2673",,"JC2673",,
"6085","3604","19000101","99991231","I","JC2673",,"JC2673",,
"6089","3607","19000101","99991231","I","JC2673",,"JC2673",,
"6093","1783","19000101","99991231","I","JC2679",,"JC2679",,
"6096","3609","19000101","99991231","I","JC2679",,"JC2679",,
"6099","3610","19000101","99991231","I","JC2679",,"JC2679",,
"6101","1785","19000101","99991231","A","JC1596",,,,
"6107","1788","19000101","99991231","A","JC1599",,,,
"6113","3614","19000101","99991231","I","JC2685",,"JC2685",,
"6117","3619","19000101","99991231","I","JC2685",,"JC2685",,
"6123","1791","19000101","99991231","A","JC1602",,,,
"6126","1793","19000101","99991231","A","JC1604",,,,
"6128","3626","19000101","99991231","I","JC2694",,"JC2694",,
"6131","3629","19000101","99991231","I","JC2694",,"JC2694",,
"4963","4016","19000101","99991231","I","JC2846",,"JC2846",,
"4966","4020","19000101","99991231","I","JC2846",,"JC2846",,
"4970","4024","19000101","99991231","I","JC2846",,"JC2846",,
"4974","4027","19000101","99991231","I","JC2846",,"JC2846",,
"4977","4031","19000101","99991231","I","JC2846",,"JC2846",,
"4980","4032","19000101","99991231","I","JC2846",,"JC2846",,
"4983","4035","19000101","99991231","I","JC2846",,"JC2846",,
"4986","4039","19000101","99991231","I","JC2846",,"JC2846",,
"4988","585","19000101","99991231","A","JC535",,,,
"4990","4044","19000101","99991231","I","JC2855",,"JC2855",,
"4992","587","19000101","99991231","A","JC538",,,,
"4995","590","19000101","99991231","A","JC541",,,,
"4996","4054","19000101","99991231","I","JC2859",,"JC2859",,
"5000","595","19000101","99991231","A","JC545",,,,
"5002","4062","19000101","99991231","I","JC2862",,"JC2862",,
"5006","597","19000101","99991231","A","JC548",,,,
"5008","4066","19000101","99991231","I","JC2865",,"JC2865",,
"5010","601","19000101","99991231","A","JC555",,,,
"5013","4072","19000101","99991231","I","JC2869",,"JC2869",,
"5016","4078","19000101","99991231","I","JC2869",,"JC2869",,
"5019","4081","19000101","99991231","I","JC2869",,"JC2869",,
"5022","607","19000101","99991231","A","JC559",,,,
"5024","4089","19000101","99991231","I","JC2877",,"JC2877",,
"5026","4092","19000101","99991231","I","JC2877",,"JC2877",,
"5028","4097","19000101","99991231","I","JC2877",,"JC2877",,
"5030","612","19000101","99991231","A","JC563",,,,
"5031","4104","19000101","99991231","I","JC2880",,"JC2880",,
"5033","617","19000101","99991231","A","JC568",,,,
"4824","3864","19000101","99991231","I","JC2795",,"JC2795",,
"4825","3866","19000101","99991231","I","JC2795",,"JC2795",,
"4826","528","19000101","99991231","A","JC479",,,,
"4827","532","19000101","99991231","A","JC483",,,,
"4828","3879","19000101","99991231","I","JC2806",,"JC2806",,
"4829","3885","19000101","99991231","I","JC2806",,"JC2806",,
"4830","537","19000101","99991231","A","JC488",,,,
"4831","3892","19000101","99991231","I","JC2809",,"JC2809",,
"4832","3896","19000101","99991231","I","JC2809",,"JC2809",,
