assedicCertInitialStateNum,assedicCertObjectNum,businessUnit,calcMethodIndicator,commitmentIndicator,company,contractReferenceForAed,contractType,costCenter,countryOfCompany,createdBy,createdDateTime,createdOn,defaultOvertimeCompensationVariant,department,division,eeo1JobCategory,eeo4JobCategory,eeo5JobCategory,eeo6JobCategory,eeoClass,electoralCollegeForWorkersRepresentatives,electoralCollegeForWorksCouncil,empRelationship,emplStatus,employeeClass,employeeWorkgroupMembership,employmentType,endDate,event,eventReason,exclExecutiveSector,expectedReturnDate,familyRelationshipWithEmployer,fgtsDate,fgtsOptant,fgtsPercent,flsaStatus,fte,harmfulAgentExposure,hazard,healthRisk,holidayCalendarCode,isCompetitionClauseActive,isFulltimeEmployee,isSideLineJobAllowed,jobCode,jobTitle,laborProtection,lastModifiedBy,lastModifiedDateTime,lastModifiedOn,location,managerId,mandatoryWorkBreakRecord,municipalInseeCode,notes,operation,payGrade,payScaleArea,payScaleGroup,payScaleLevel,payScaleType,pcfm,pensionProtection,permitIndicator,position,positionEntryDate,probationPeriodEndDate,regularTemp,residentVote,retired,seqNumber,sickPaySupplement,standardHours,startDate,teachersPension,timeRecordingAdmissibilityCode,timeRecordingProfileCode,timeRecordingVariant,timeTypeProfileCode,timezone,travelDistance,tupeOrgNumber,userId,workLocation,workerCategory,workingDaysPerWeek,workingTimeDirective,workscheduleCode,wtdHoursLimit
,,BU_0015,,,8001009,,,44550,,,,,,8005068,8003002,,,,,,,,,2003,2041,,,20161213,970,XFER,,,,,,,571,1,,,,,,,,21,Solutions Architect,,,,,,E100614,,,,,,,,,,,,,,,,867,,,1,,37.5,20160511,,,,,,,,,E100651,LOC19,,,,,
,,BU_0015,,,8001009,,,44550,,,,,,8005068,8003002,,,,,,,,,2003,2041,,,20161214,972,SUP_CHG,,,,,,,571,1,,,,,,,,21,Solutions Architect,,,,,,E100819,,,,,,,,,,,,,,,,867,,,1,,37.5,20161214,,,,,,,,,E100651,LOC19,,,,,
,,BU_0015,,,8001009,,,44550,,,,,,8005068,8003002,,,,,,,,,2003,2041,,,99991231,972,SUP_CHG,,,,,,,571,1,,,,,,,,21,Solutions Architect,,,,,,E100819,,,,,,,,,,,,,,,,867,,,2,,37.5,20161214,,,,,,,,,E100651,LOC19,,,,,
,,BU_0004,,,8001009,,,44605,,,,,,8005002,8003002,,,,,,,,,2003,,,,20161123,975,NEW_HIRE,,,,,,,,1,,,,,,,,23,Intern,,,,,,E101366,,,,,,,,,,,,,,,,,,,1,,37.5,20161123,,,,,,,,,E102146,,,,,,
,,BU_0004,,,8001008,,,44605,,,,,,8005002,8003002,,,,,,,,,2003,,,,20161123,975,NEW_HIRE,,,,,,,,1,,,,,,,,23,Intern,,,,,,E101366,,,,,,,,,,,,,,,,,,,1,,35,20161123,,,,,,,,,E102147,,,,,,
,,BU_0015,,,8001009,,,44605,,,,,,,8003002,,,,,,,,,2003,,,,20161123,975,NEW_HIRE,,,,,,,,1,,,,,,,,23,Intern,,,,,,E101366,,,,,,,,,,,,,,,,,,,1,,37.5,20161123,,,,,,,,,E102145,LOC15,,,,,
,,BU_0003,,,8001009,,,44605,,,,,,8005030,8003002,,,,,,,,,2003,,,,20161123,975,NEW_HIRE,,,,,,,,1,,,,,,,,23,Intern,,,,,,E101366,,,,,,,,,,,,,,,,,,,1,,37.5,20161123,,,,,,,,,E102144,LOC19,,,,,
,,BU_0004,,,8001009,,,44605,,,,,,8005002,8003002,,,,,,,,,2008,,,,99991231,986,TERM_MUT_AGREE,,,,,,,,1,,,,,,,,23,Intern,,,,,,E101366,,,,,,,,,,,,,,,,,,,1,,37.5,20161124,,,,,,,,,E102146,,,,,,
,,BU_0004,,,8001008,,,44605,,,,,,8005002,8003002,,,,,,,,,2008,,,,99991231,986,RES_CAR_MOVE,,,,,,,,1,,,,,,,,23,Intern,,,,,,E101366,,,,,,,,,,,,,,,,,,,2,,35,20161123,,,,,,,,,E102147,,,,,,
,,BU_0015,,,8001009,,,44605,,,,,,,8003002,,,,,,,,,2008,,,,99991231,986,RES_WORK_ENV,,,,,,,,1,,,,,,,,23,Intern,,,,,,E101366,,,,,,,,,,,,,,,,,,,1,,37.5,20161124,,,,,,,,,E102145,LOC15,,,,,
